hab_lbl,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Min Mass (EU),P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),P. Teq Min (K),P. Teq Mean (K),P. Teq Max (K),P. Ts Min (K),P. Ts Mean (K),P. Ts Max (K),P. Surf Press (EU),P. Mag,P. Appar Size (deg),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),P. Inclination (deg),P. Omega (deg),S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. [Fe/H],S. Age (Gyrs),S. Appar Mag,S. Mag from Planet,S. Size from Planet (deg),S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. ESI,P. Habitable
0,2,2,2,2,18.2179136691,8.1,1.99,1.03,2.05,2.02,2308.751,2440.741,2582.373,1766,1790.4,1816.1,1809.1,1833.5,1859.2,8.3,-27.18,3.78,0.74,0.0154,0.03,0.02,89.6,170,0.91,0.94,5196,0.581554,0.31,10.2,6,-35.2,33.0178,0.591,1.419,-2.39,0.06,-0.81,0.28,0.26,0
0,2,2,3,2,5.09,5.09,1.66,1.1,1.84,1.75,234.718,296.5414,380.1633,997.2,1054.4,1125,1038.6,1095.7,1166.3,5.6,-24.5,3.16,4.21,0.0502,0.12,0.05,86.8916666667,105,0.95,0.94,5531,0.741925,-0.01,8.96,4.7,-32.9,10.0643,0.656,1.556,-2.35,-0.15,-0.69,0.29,0.27,0
0,2,4,3,3,1.14,1.14,1.09,0.89,0.97,1.03,308.7997,308.7997,308.7998,1068,1068,1068,1102.1,1102.1,1102.1,1,-23.61,2.06,3.24,0.04,0,0.04,86.8916666667,0,0.93,0.86,5214,0.49408,-0.1280114286,4.1862139785,1.3,-33,11.5197,0.545,1.306,-2.33,-0.17,-1.12,0.28,0.3,0
0,2,2,3,2,11.77,16.31,2.23,1.47,3.28,2.71,14.7045,14.7045,14.7045,498.9,498.9,498.9,546.5,546.5,546.5,24,-21.85,4.24,41.69,0.241,0,0.24,89.5,0,0.96,0.93,5766,0.854052,-0.15,3.34,11,-29.7,2.0522,0.694,1.636,-1.96,-0.13,0.61,0.33,0.33,0
0,2,2,3,2,8.58,8.58,1.91,1.23,2.35,2.12,456.218,456.218,456.2181,1177.4,1177.4,1177.4,1221.5,1221.5,1221.5,10.6,-25.27,3.63,3.87,0.0428,0,0.04,86.8916666667,0,0.7,1.64,4324,0.835718,-0.14,4.4,6.7,-33.4,20.5046,0.735,1.832,-2.26,-0.14,-0.54,0.3,0.26,0
0,2,4,3,2,0.17,4.74,1.52,1.34,2.04,1.76,1458.282,1842.386,2361.921,1574.4,1664.6,1776.1,1616.3,1706.5,1818,6.4,-26.3,2.89,0.85,0.0172,0.12,0.02,80.1,0,0.93,0.87,5313,0.541113,0.03,1.5,11.7,-34.9,27.4125,0.567,1.355,-2.4,-0.38,-0.9,0.28,0.28,0
0,2,2,3,2,18.2179136691,4.31,1.59,1.07,1.7,1.65,16.15,16.15,16.15,510.7,510.7,510.7,551.3,551.3,551.3,4.6,-21.22,3.02,9.32,0.0731,0,0.07,88.3,0,0.64,0.6,4043,0.086299,-0.11,4.1862139785,12.8,-29.8,4.3752,0.238,0.601,-1.91,-0.15,-0.32,0.34,0.35,0
0,2,2,3,2,18.2179136691,8.68,1.92,1.24,2.37,2.13,8.198086,8.198087,8.198089,431.1,431.1,431.1,475.2,475.2,475.2,10.7,-20.89,3.64,15.5,0.1026,0,0.1,89.1,0,0.64,0.6,4043,0.086299,-0.11,4.1862139785,12.8,-29,3.1169,0.238,0.601,-1.75,-0.14,0.25,0.36,0.4,0
0,2,3,2,2,18.2179136691,12.05,2.74,0.58,1.6,2.1,456.1121,576.2495,738.7465,1177.4,1244.9,1328.2,1219.7,1287.2,1370.6,7,-26.32,5.22,5.66,0.0647,0.12,0.06,86.6,0,1.13,1.52,5830,2.394701,0.13,4.1862139785,12.5,-33.7,12.6368,1.158,2.724,-2.4,0.96,-0.58,0.27,0.22,0
0,2,2,3,2,18.2179136691,22.64,2.41,1.62,3.9,3.07,251.9139,251.914,251.914,1015,1015,1015,1064.4,1064.4,1064.4,36.7,-25.12,4.58,2.51,0.0334,0,0.03,86.8916666667,0,0.79,0.74,4890,0.280924,-0.01,4.1862139785,14.4,-32.8,11.8303,0.417,1.013,-2.29,-0.12,0.13,0.3,0.24,0
